,Community Total Cases (Includes WP Holders not in Dorms),Dormitory Residents Total Cases,Imported Cases
2020-01-23,0,0,1
2020-01-24,0,0,3
2020-01-25,0,0,4
2020-01-26,0,0,4
2020-01-27,0,0,5
2020-01-28,0,0,7
2020-01-29,0,0,10
2020-01-30,0,0,13
2020-01-31,0,0,16
2020-02-01,0,0,18
2020-02-02,0,0,18
2020-02-03,0,0,18
2020-02-04,4,0,20
2020-02-05,7,0,21
2020-02-06,9,0,21
2020-02-07,12,0,21
2020-02-08,19,0,21
2020-02-09,21,1,21
2020-02-10,22,1,22
2020-02-11,23,2,22
2020-02-12,26,2,22
2020-02-13,34,2,22
2020-02-14,43,2,22
2020-02-15,48,2,22
2020-02-16,51,2,22
2020-02-17,52,2,23
2020-02-18,56,2,23
2020-02-19,59,2,23
2020-02-20,60,2,23
2020-02-21,61,2,23
2020-02-22,63,2,24
2020-02-23,63,2,24
2020-02-24,64,2,24
2020-02-25,65,2,24
2020-02-26,67,2,24
2020-02-27,70,2,24
2020-02-28,72,2,24
2020-02-29,76,2,24
2020-03-01,80,2,24
2020-03-02,82,2,24
2020-03-03,84,2,24
2020-03-04,85,2,25
2020-03-05,89,2,26
2020-03-06,100,2,28
2020-03-07,106,2,30
2020-03-08,117,2,31
2020-03-09,124,2,34
2020-03-10,129,2,35
2020-03-11,132,2,44
2020-03-12,136,2,49
2020-03-13,140,2,58
2020-03-14,143,2,67
2020-03-15,148,2,76
2020-03-16,154,2,86
2020-03-17,160,2,104
2020-03-18,172,2,139
2020-03-19,179,2,164
2020-03-20,190,2,193
2020-03-21,198,2,232
2020-03-22,202,2,251
2020-03-23,208,2,299
2020-03-24,225,2,331
2020-03-25,258,2,371
2020-03-26,280,3,400
2020-03-27,306,4,422
2020-03-28,333,5,464
2020-03-29,350,7,487
2020-03-30,370,12,497
2020-03-31,395,18,513
2020-04-01,437,31,532
2020-04-02,470,39,540
2020-04-03,504,61,549
2020-04-04,545,88,556
2020-04-05,600,148,561
2020-04-06,629,182,564
2020-04-07,674,240,567
2020-04-08,738,314,571
2020-04-09,793,543,574
2020-04-10,847,686,575
2020-04-11,884,839,575
2020-04-12,926,1030,575
2020-04-13,972,1369,575
2020-04-14,1025,1650,575
2020-04-15,1063,2058,575
